url,top_query,pct_clicks_from_top_query_all,num_queries_conocidas,top_query_clicks,top_query_impressions,top_query_position,url_total_clicks,url_total_impressions,url_avg_position
https://www.example.com/portatiles,portatiles gaming,35.5,145,234,5600,3.2,659,15800,4.1
https://www.example.com/portatiles/gaming,portatiles gaming,42.1,89,189,4200,4.1,449,10000,5.2
https://www.example.com/blog/mejores-portatiles-gaming-2025,portatiles gaming,68.2,23,87,2100,6.8,128,3080,7.5
https://www.example.com/portatiles/portatil-asus-rog-strix-g15-ryzen-9-rtx-4070,portatiles gaming,28.4,34,45,890,8.2,158,3140,9.1
https://www.example.com/monitores,monitores gaming,41.2,112,312,7800,2.8,758,18900,3.5
https://www.example.com/monitores/gaming,monitores gaming,38.9,78,198,4500,3.9,509,11560,4.8
https://www.example.com/monitores/monitor-samsung-odyssey-g9-49,monitores gaming,22.1,45,56,1200,7.1,253,5430,8.2
https://www.example.com/tarjetas-graficas,tarjetas graficas nvidia,45.3,198,456,12000,2.1,1007,26520,3.2
https://www.example.com/tarjetas-graficas/nvidia,tarjetas graficas nvidia,52.1,134,389,9800,2.8,747,18810,3.9
https://www.example.com/tarjetas-graficas/nvidia-rtx-4090,tarjetas graficas nvidia,18.9,67,123,3200,5.4,651,16930,6.1
https://www.example.com/blog/comparativa-rtx-4090-vs-4080,tarjetas graficas nvidia,71.2,19,89,2100,7.2,125,2950,8.5
https://www.example.com/procesadores,procesadores amd ryzen,38.7,167,287,7500,3.1,741,19390,4.2
https://www.example.com/procesadores/amd,procesadores amd ryzen,44.2,98,234,5600,3.8,529,12670,4.9
https://www.example.com/procesadores/amd-ryzen-9-7950x,procesadores amd ryzen,25.1,43,78,1890,6.2,311,7530,7.1
https://www.example.com/teclados,teclados mecanicos,42.8,89,156,3800,4.2,364,8880,5.3
https://www.example.com/teclados/mecanicos,teclados mecanicos,48.1,67,134,3200,4.8,279,6660,5.9
https://www.example.com/ratones,ratones gaming,39.4,76,145,3600,3.9,368,9140,4.8
https://www.example.com/ratones/gaming,ratones gaming,45.2,54,123,2900,4.5,272,6420,5.4
https://www.example.com/blog/guia-ratones-gaming-2025,ratones gaming,62.3,21,67,1450,8.1,108,2330,9.2
https://www.example.com/auriculares,auriculares gaming,36.8,94,167,4200,3.5,454,11420,4.4
https://www.example.com/auriculares/gaming,auriculares gaming,41.5,72,145,3500,4.1,349,8440,5.1
https://www.example.com/sillas,sillas gaming,44.2,83,198,4800,2.9,448,10860,3.8
https://www.example.com/sillas/gaming,sillas gaming,47.8,61,167,3900,3.4,349,8160,4.3
https://www.example.com/almacenamiento,ssd nvme,32.4,156,234,6800,3.8,722,20980,4.9
https://www.example.com/almacenamiento/ssd,ssd nvme,38.9,112,189,5200,4.3,486,13370,5.5
https://www.example.com/almacenamiento/ssd-samsung-990-pro-2tb,ssd nvme,21.3,38,67,1560,6.8,315,7320,7.6
